Add to Cart Browsing,Age Group,Browsing Frequency,Cart Abandonment Factors,Cart Completion Frequency,Gender,Improvement Areas,Personalized Recommendation Frequency,Product Search Method,Purchase Categories,Purchase Frequency,Recommendation Helpfulness,Review Helpfulness,Review Left,Review Reliability,Saveforlater Frequency,Search Result Exploration,Service Appreciation,Timestamp,Age,Customer Reviews Importance,Personalized Recommendation Frequency1,Rating Accuracy,Shopping Satisfaction
Yes,16-25,Few times a week,Found a better price elsewhere,Sometimes,Female,Reducing packaging waste,Yes,Keyword,Beauty and Personal Care,Few times a month,Yes,Yes,Yes,Occasionally,Sometimes,Multiple pages,Competitive prices,2023/06/04 1:28:19 PM GMT+5:30,23,1,2,1,1
Yes,16-25,Few times a month,High shipping costs,Often,Female,Reducing packaging waste,Yes,Keyword,Clothing and Fashion,Once a month,Sometimes,Yes,No,Heavily,Rarely,Multiple pages,Wide product selection,2023/06/04 2:30:44 PM GMT+5:30,23,1,2,3,2
Yes,16-25,Few times a month,Found a better price elsewhere,Sometimes,Prefer not to say,Product quality and accuracy,No,Keyword,Groceries and Gourmet Food;Clothing and Fashion,Few times a month,No,No,No,Occasionally,Rarely,Multiple pages,Competitive prices,2023/06/04 5:04:56 PM GMT+5:30,24,2,4,3,3
Maybe,16-25,Few times a month,Found a better price elsewhere,Sometimes,Female,Product quality and accuracy,Sometimes,Keyword,Beauty and Personal Care;Clothing and Fashion;others,Once a month,Sometimes,Yes,Yes,Heavily,Sometimes,First page,Competitive prices,2023/06/04 5:13:00 PM GMT+5:30,24,5,3,3,4
Yes,16-25,Few times a month,High shipping costs,Sometimes,Female,Product quality and accuracy,Yes,Filter,Beauty and Personal Care;Clothing and Fashion,Less than once a month,Yes,Yes,No,Heavily,Rarely,Multiple pages,Competitive prices,2023/06/04 5:28:06 PM GMT+5:30,22,1,4,2,2
Yes,16-25,Rarely,Changed my mind or no longer need the item,Rarely,Female,Product quality and accuracy,No,categories,Clothing and Fashion,Less than once a month,No,Yes,No,Heavily,Never,Multiple pages,Wide product selection,2023/06/04 6:01:59 PM GMT+5:30,21,1,5,5,2
Yes,16-25,Rarely,High shipping costs,Often,Female,Shipping speed and reliability,No,Filter,Clothing and Fashion,Less than once a month,Sometimes,Yes,No,Heavily,Rarely,Multiple pages,Wide product selection,2023/06/04 6:31:41 PM GMT+5:30,22,1,3,3,3
Yes,16-25,Rarely,Found a better price elsewhere,Often,Female,Shipping speed and reliability,No,Keyword,Beauty and Personal Care;Clothing and Fashion,Few times a month,Sometimes,Sometimes,No,Heavily,Rarely,Multiple pages,Competitive prices,2023/06/04 7:13:12 PM GMT+5:30,21,1,3,1,3
Yes,16-25,Few times a month,Changed my mind or no longer need the item,Sometimes,Female,Reducing packaging waste,Sometimes,Keyword,Beauty and Personal Care;Clothing and Fashion,Less than once a month,Yes,Yes,No,Moderately,Often,First page,Wide product selection,2023/06/04 7:23:21 PM GMT+5:30,20,1,2,2,2
Yes,16-25,Rarely,Found a better price elsewhere,Rarely,Female,Product quality and accuracy,No,Keyword,Beauty and Personal Care;Clothing and Fashion,Less than once a month,Yes,Yes,No,Heavily,Rarely,Multiple pages,Wide product selection,2023/06/04 7:33:12 PM GMT+5:30,23,1,3,3,4
Maybe,16-25,Few times a month,Found a better price elsewhere,Sometimes,Female,Shipping speed and reliability,No,categories,Clothing and Fashion,Less than once a month,Sometimes,Yes,No,Heavily,Sometimes,Multiple pages,Competitive prices,2023/06/04 7:45:33 PM GMT+5:30,22,1,3,3,2
Yes,16-25,Few times a week,High shipping costs,Sometimes,Female,Product quality and accuracy,No,Keyword,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Multiple times a week,Yes,Yes,Yes,Heavily,Sometimes,Multiple pages,Wide product selection,2023/06/04 7:48:31 PM GMT+5:30,25,1,3,3,1
Maybe,16-25,Few times a month,Changed my mind or no longer need the item,Sometimes,Female,Product quality and accuracy,No,Keyword,Beauty and Personal Care;Clothing and Fashion,Less than once a month,No,Sometimes,No,Heavily,Rarely,First page,Competitive prices,2023/06/04 8:00:11 PM GMT+5:30,23,1,2,3,2
Yes,16-25,Few times a month,Changed my mind or no longer need the item,Often,Female,Product quality and accuracy,No,Keyword,Clothing and Fashion;Home and Kitchen,Once a month,Yes,Yes,Yes,Moderately,Often,Multiple pages,Wide product selection,2023/06/04 8:01:45 PM GMT+5:30,24,1,2,2,2
